UF;MUNICIPIO;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
PR;CIDADE GAUCHA;3810;0;337;89;630;175;1;4;29;1533;699;104;0;274;140;1;1;0;2;1;44
PR;CLEVELANDIA;6831;0;712;259;1515;382;0;6;53;1015;170;62;0;113;385;3;5;0;1;4;100
PR;COLOMBO;94032;0;4682;1608;10879;4778;0;81;460;25727;3619;631;1;2758;1765;4;24;0;45;35;936
PR;COLORADO;9010;0;601;357;1720;391;0;23;64;2842;1509;196;0;753;647;1;1;0;9;6;122
PR;CONGONHINHAS;2621;0;184;31;510;104;0;3;18;962;61;55;0;63;46;0;0;0;1;4;17
PR;CONSELHEIRO MAIRINCK;1256;0;66;3;208;35;0;0;7;323;32;23;0;35;5;0;0;0;0;1;10
PR;CONTENDA;7303;0;929;135;1358;376;0;2;37;1576;207;79;0;275;234;0;6;0;3;4;55
PR;CORBELIA;7074;0;891;287;1882;453;1;20;34;1844;531;80;0;270;430;6;3;0;0;1;212
PR;CORNELIO PROCOPIO;19184;0;1178;203;3258;1112;0;36;134;7825;2254;158;0;656;314;1;4;0;31;13;333
PR;CORONEL DOMINGOS SOARES;1491;0;216;15;409;103;0;0;13;465;21;49;0;18;22;0;2;0;0;0;15
PR;CORONEL VIVIDA;9826;0;899;183;2226;388;0;9;47;2137;549;139;0;193;236;20;3;0;3;2;155
PR;CORUMBATAI DO SUL;1249;0;80;6;294;23;0;0;3;613;68;32;0;11;16;0;0;0;0;2;1
PR;CRUZ MACHADO;5852;0;864;60;1786;232;0;0;20;2921;144;111;0;98;61;0;3;0;2;6;22
PR;CRUZEIRO DO IGUACU;1566;0;112;28;314;58;0;4;14;490;142;32;0;44;38;0;0;0;1;0;9
PR;CRUZEIRO DO OESTE;8401;0;615;114;1228;287;0;17;28;3195;1192;103;0;283;155;3;0;0;1;2;87
PR;CRUZEIRO DO SUL;1812;0;117;33;299;91;0;3;12;553;257;25;0;72;46;0;0;0;1;0;15
